basket_id,basket_theme,n_items,items
B169,veggie_stew,11,Чеснок | Помидоры | Перец болгарский | Шампиньоны | Кабачки | Авокадо | Зеленый лук | Петрушка | Клубника | Голубика | Булгур
B170,baking_sweet,7,Молоко 2.5% | Сливочное масло | Яйца C1 10 шт | Мука пшеничная | Сахар | Ванильный сахар | Какао порошок
B171,burger_night,8,Булочки для бургеров | Фарш говяжий | Помидоры | Авокадо | Макароны спагетти | Кетчуп | Горчица | Картофель фри замороженный
B172,frozen_quick,5,Кетчуп | Мороженое ванильное | Пельмени | Вареники с картофелем | Туалетная бумага
B173,breakfast_basic,8,Молоко 2.5% | Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Бананы | Овсяные хлопья | Кофе молотый
B174,frozen_quick,5,Огурцы | Газированная вода | Пельмени | Вареники с картофелем | Пицца замороженная
B175,weekly_stock,16,Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Картофель | Лук репчатый | Салат айсберг | Шампиньоны | Зеленый лук | Укроп | Яблоки | Рис длиннозерный | Гречка | Макароны пенне | Подсолнечное масло | Вода минеральная
B176,pets_home,5,Сметана 20% | Мороженое ванильное | Корм для кошек | Наполнитель для кошачьего туалета | Средство для посуды
B177,pets_home,6,Помидоры | Овсяные хлопья | Корм для собак | Средство для посуды | Бумажные полотенца | Пакеты для мусора
B178,pets_home,7,Молоко 2.5% | Хлеб пшеничный | Морковь | Корм для собак | Наполнитель для кошачьего туалета | Бумажные полотенца | Пакеты для мусора
B179,burger_night,7,Сыр гауда | Булочки для бургеров | Фарш говяжий | Бекон | Помидоры | Салат айсберг | Кетчуп
B180,seafood_asian,10,Сметана 20% | Сыр гауда | Котлеты куриные | Креветки очищенные | Чеснок | Огурцы | Брокколи | Имбирь | Соевый соус | Сэндвич с курицей
B181,lasagna_pasta,9,Молоко 2.5% | Сливки 10% | Моцарелла | Пармезан | Фарш говяжий | Морковь | Помидоры | Макароны пенне | Томатная паста
B182,curry_dinner,9,Чеснок | Брокколи | Авокадо | Имбирь | Лимоны | Рис длиннозерный | Кокосовое молоко | Горчица | Карри паста
B183,veggie_stew,7,Сметана 20% | Морковь | Помидоры | Шампиньоны | Кабачки | Оливковое масло | Итальянские травы
B184,salad_light,11,Колбаса докторская | Морковь | Помидоры | Огурцы | Перец болгарский | Шампиньоны | Авокадо | Клубника | Кукуруза консервированная | Шоколад молочный | Корм для кошек
B185,baby_care,7,Молоко 2.5% | Йогурт натуральный | Бананы | Детское пюре яблочное | Детская каша | Подгузники | Влажные салфетки
B186,kids_breakfast,6,Йогурт натуральный | Бананы | Хлопья кукурузные | Детское пюре яблочное | Детская каша | Влажные салфетки
B187,burger_night,11,Сыр гауда | Булочки для бургеров | Куриное филе | Фарш говяжий | Бекон | Помидоры | Салат айсберг | Виноград | Кетчуп | Горчица | Картофель фри замороженный
B188,mexican_tacos,8,Сыр гауда | Лаваш | Помидоры | Авокадо | Острый перец | Фасоль консервированная | Кукуруза консервированная | Сальса
B189,fruit_snack,10,Помидоры | Укроп | Яблоки | Бананы | Апельсины | Груши | Овсяные хлопья | Корица | Орехи грецкие | Наполнитель для кошачьего туалета
B190,baking_sweet,6,Молоко 2.5% | Сливочное масло | Киви | Разрыхлитель теста | Ванильный сахар | Шоколад темный
B191,chicken_soup,7,Куриные бедра | Картофель | Морковь | Лук репчатый | Петрушка | Лапша удон | Суп куриный готовый
B192,fruit_snack,10,Йогурт натуральный | Куриное филе | Яблоки | Бананы | Апельсины | Груши | Виноград | Сальса | Печенье овсяное | Орехи грецкие
B193,burger_night,12,Сыр гауда | Хлеб пшеничный | Булочки для бургеров | Фарш говяжий | Бекон | Помидоры | Салат айсберг | Петрушка | Яблоки | Ванильный сахар | Кетчуп | Горчица
B194,burger_night,7,Сыр гауда | Булочки для бургеров | Фарш говяжий | Бекон | Помидоры | Салат айсберг | Горчица
B195,russian_salads,10,Молоко 2.5% | Яйца C1 10 шт | Колбаса докторская | Картофель | Огурцы | Укроп | Голубика | Кофе молотый | Вода минеральная | Корм для собак
B196,sandwiches,10,Сыр творожный | Хлеб пшеничный | Батон нарезной | Ветчина | Помидоры | Огурцы | Укроп | Виноград | Чипсы картофельные | Арахисовая паста
B197,breakfast_basic,8,Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Бананы | Овсяные хлопья | Кофе молотый | Вафли
B198,salad_light,13,Тунец консервированный | Помидоры | Огурцы | Перец болгарский | Салат айсберг | Авокадо | Бананы | Оливковое масло | Кукуруза консервированная | Чай черный | Газированная вода | Картофель фри замороженный | Арахисовая паста
B199,burger_night,9,Сыр гауда | Фарш говяжий | Бекон | Помидоры | Салат айсберг | Зеленый лук | Яблоки | Горчица | Картофель фри замороженный
B200,baby_care,9,Молоко 2.5% | Йогурт натуральный | Бананы | Груши | Печенье овсяное | Детское пюре яблочное | Подгузники | Влажные салфетки | Средство для посуды
B201,salad_light,9,Тунец консервированный | Помидоры | Огурцы | Перец болгарский | Салат айсберг | Авокадо | Лимоны | Оливковое масло | Мороженое ванильное
B202,kids_breakfast,8,Молоко 2.5% | Йогурт натуральный | Бананы | Сок яблочный | Хлопья кукурузные | Детская каша | Влажные салфетки | Пакеты для мусора
B203,mexican_tacos,6,Сыр гауда | Морковь | Помидоры | Авокадо | Кукуруза консервированная | Сальса
B204,pasta_italian,10,Пармезан | Багет | Чеснок | Манго | Макароны спагетти | Оливковое масло | Томатная паста | Соус песто | Итальянские травы | Корм для кошек
B205,party_snacks,9,Хлеб пшеничный | Гречка | Газированная вода | Квас | Мороженое ванильное | Пицца замороженная | Шоколад молочный | Чипсы картофельные | Сухарики
B206,bbq_picnic,8,Сметана 20% | Свинина для жарки | Помидоры | Огурцы | Кетчуп | Газированная вода | Шоколад молочный | Чипсы картофельные
B207,healthy_breakfast,7,Сыр гауда | Йогурт греческий | Молоко безлактозное | Бананы | Голубика | Рис длиннозерный | Мед
B208,breakfast_basic,10,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Ветчина | Салат айсберг | Авокадо | Бананы | Овсяные хлопья | Кофе молотый
B209,fruit_snack,10,Йогурт натуральный | Огурцы | Яблоки | Бананы | Апельсины | Груши | Виноград | Кофе молотый | Печенье овсяное | Орехи грецкие
B210,salad_light,7,Тунец консервированный | Помидоры | Огурцы | Перец болгарский | Салат айсберг | Кукуруза консервированная | Суп куриный готовый
B211,breakfast_basic,11,Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Перец болгарский | Зеленый лук | Бананы | Манго | Овсяные хлопья | Кофе молотый | Вода минеральная
B212,lasagna_pasta,8,Моцарелла | Пармезан | Фарш говяжий | Шампиньоны | Томатная паста | Итальянские травы | Хлопья кукурузные | Пакеты для мусора
B213,fish_dinner,8,Лосось филе | Огурцы | Шпинат | Лимоны | Рис длиннозерный | Оливковое масло | Черный перец | Вода минеральная
B214,mexican_tacos,7,Лаваш | Фарш говяжий | Сельдь слабосоленая | Помидоры | Острый перец | Фасоль консервированная | Кукуруза консервированная
B215,curry_dinner,9,Куриное филе | Чеснок | Перец болгарский | Брокколи | Имбирь | Лимоны | Рис длиннозерный | Кокосовое молоко | Карри паста
B216,tea_sweets,7,Молоко 2.5% | Круассаны | Кофе молотый | Шоколад молочный | Печенье овсяное | Вафли | Джем клубничный
B217,fruit_snack,8,Молоко 2.5% | Яблоки | Бананы | Апельсины | Груши | Виноград | Печенье овсяное | Орехи грецкие
B218,healthy_breakfast,7,Йогурт греческий | Молоко безлактозное | Бананы | Овсяные хлопья | Мед | Орехи грецкие | Гранола
B219,baking_sweet,12,Яйца C1 10 шт | Чеснок | Зеленый лук | Имбирь | Мука пшеничная | Сахар | Разрыхлитель теста | Ванильный сахар | Какао порошок | Шоколад темный | Средство для посуды | Пакеты для мусора
B220,veggie_stew,8,Яйца C1 10 шт | Лук репчатый | Перец болгарский | Шампиньоны | Кабачки | Баклажаны | Оливковое масло | Итальянские травы
B221,chicken_soup,6,Куриные бедра | Креветки очищенные | Морковь | Лук репчатый | Лапша удон | Суп куриный готовый
B222,baby_care,8,Молоко 2.5% | Яблоки | Бананы | Груши | Печенье овсяное | Детское пюре яблочное | Детская каша | Влажные салфетки
B223,borsch_soup,9,Сметана 20% | Хлеб ржаной | Говядина стейк | Картофель | Морковь | Лук репчатый | Свекла | Шоколад молочный | Миндаль
B224,kids_breakfast,8,Молоко 2.5% | Йогурт натуральный | Бананы | Сок яблочный | Вода минеральная | Печенье овсяное | Детское пюре яблочное | Влажные салфетки
B225,weekly_stock,15,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Картофель | Авокадо | Петрушка | Яблоки | Рис длиннозерный | Гречка | Овсяные хлопья | Чай черный | Вода минеральная | Порошок стиральный
B226,breakfast_basic,11,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Капуста белокочанная | Бананы | Овсяные хлопья | Чай черный | Кофе молотый | Суп куриный готовый | Корм для кошек
B227,fruit_snack,9,Хлеб пшеничный | Лук репчатый | Яблоки | Бананы | Апельсины | Виноград | Вода минеральная | Печенье овсяное | Орехи грецкие
B228,breakfast_basic,12,Сыр гауда | Сливочное масло | Хлеб пшеничный | Яйца C1 10 шт | Огурцы | Яблоки | Бананы | Лимоны | Виноград | Овсяные хлопья | Кофе молотый | Средство для посуды
B229,weekly_stock,10,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Картофель | Лук репчатый | Яблоки | Гречка | Подсолнечное масло
B230,seafood_asian,8,Креветки очищенные | Чеснок | Брокколи | Зеленый лук | Острый перец | Бананы | Лапша удон | Соус терияки
B231,curry_dinner,10,Куриное филе | Брокколи | Петрушка | Имбирь | Лимоны | Голубика | Рис длиннозерный | Кокосовое молоко | Карри паста | Кофе молотый
B232,office_lunch,8,Йогурт натуральный | Бананы | Кофе молотый | Кофе зерновой | Вода минеральная | Шоколад темный | Салат цезарь готовый | Сэндвич с курицей
B233,baby_care,7,Молоко 2.5% | Йогурт натуральный | Бананы | Детское пюре яблочное | Детская каша | Подгузники | Влажные салфетки
B234,big_family_stock,14,Молоко 2.5% | Сметана 20% | Батон нарезной | Яйца C1 10 шт | Куриные бедра | Фарш говяжий | Зеленый лук | Яблоки | Голубика | Гречка | Чай черный | Бумажные полотенца | Туалетная бумага | Пакеты для мусора
B235,fish_dinner,8,Лосось филе | Огурцы | Шпинат | Лимоны | Рис длиннозерный | Оливковое масло | Черный перец | Вода минеральная
B236,big_family_stock,13,Молоко 2.5% | Яйца C1 10 шт | Куриные бедра | Фарш говяжий | Картофель | Салат айсберг | Лимоны | Гречка | Макароны пенне | Сахар | Чай черный | Бумажные полотенца | Туалетная бумага
B237,seafood_asian,7,Креветки очищенные | Чеснок | Зеленый лук | Острый перец | Имбирь | Соевый соус | Соус терияки
B238,kids_breakfast,6,Молоко 2.5% | Бананы | Сок яблочный | Хлопья кукурузные | Детское пюре яблочное | Детская каша
B239,household_cleaning,7,Сметана 20% | Картофель | Вода минеральная | Влажные салфетки | Порошок стиральный | Бумажные полотенца | Пакеты для мусора
B240,weekly_stock,15,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Куриное филе | Картофель | Перец болгарский | Салат айсберг | Укроп | Петрушка | Яблоки | Гречка | Подсолнечное масло | Чай черный | Кофе молотый | Шоколад молочный
B241,party_snacks,12,Авокадо | Бананы | Фасоль консервированная | Карри паста | Газированная вода | Квас | Мороженое ванильное | Пицца замороженная | Шоколад молочный | Печенье овсяное | Чипсы картофельные | Сухарики
B242,healthy_breakfast,8,Молоко безлактозное | Шпинат | Бананы | Голубика | Овсяные хлопья | Картофель фри замороженный | Мед | Орехи грецкие
B243,chicken_soup,8,Куриные бедра | Картофель | Морковь | Петрушка | Лапша удон | Черный перец | Мороженое ванильное | Суп куриный готовый
B244,pasta_italian,10,Багет | Треска филе | Чеснок | Макароны спагетти | Оливковое масло | Томатная паста | Соус песто | Итальянские травы | Кофе молотый | Суп куриный готовый
B245,burger_night,13,Булочки для бургеров | Фарш говяжий | Бекон | Помидоры | Перец болгарский | Салат айсберг | Шампиньоны | Яблоки | Кетчуп | Горчица | Картофель фри замороженный | Детское пюре яблочное | Пакеты для мусора
B246,baking_sweet,11,Молоко 2.5% | Яйца C1 10 шт | Салат айсберг | Шампиньоны | Лимоны | Виноград | Сахар | Разрыхлитель теста | Ванильный сахар | Какао порошок | Шоколад темный
B247,frozen_quick,7,Куриное филе | Петрушка | Мороженое ванильное | Вареники с картофелем | Овощная смесь замороженная | Пицца замороженная | Шоколад молочный
B248,fruit_snack,8,Хлеб пшеничный | Салат айсберг | Зеленый лук | Бананы | Апельсины | Виноград | Печенье овсяное | Орехи грецкие
B249,fruit_snack,8,Яблоки | Бананы | Апельсины | Груши | Кофе молотый | Вода минеральная | Печенье овсяное | Орехи грецкие
B250,seafood_asian,9,Креветки очищенные | Чеснок | Капуста белокочанная | Брокколи | Зеленый лук | Имбирь | Лапша удон | Соевый соус | Арахисовая паста
B251,fruit_snack,7,Йогурт натуральный | Яблоки | Апельсины | Виноград | Лапша удон | Печенье овсяное | Орехи грецкие
B252,fruit_snack,12,Йогурт натуральный | Сыр гауда | Морковь | Бананы | Апельсины | Груши | Виноград | Печенье овсяное | Орехи грецкие | Салат цезарь готовый | Влажные салфетки | Порошок стиральный
B253,salad_light,14,Яйца C1 10 шт | Картофель | Помидоры | Огурцы | Перец болгарский | Салат айсберг | Авокадо | Бананы | Лимоны | Овсяные хлопья | Оливковое масло | Кукуруза консервированная | Чай черный | Средство для посуды
B254,baking_sweet,10,Молоко 2.5% | Сливочное масло | Яйца C1 10 шт | Мука пшеничная | Сахар | Разрыхлитель теста | Какао порошок | Итальянские травы | Шоколад темный | Детская каша
B255,sandwiches,7,Сыр гауда | Сыр творожный | Хлеб пшеничный | Батон нарезной | Ветчина | Салат айсберг | Яблоки
B256,baby_care,8,Молоко 2.5% | Йогурт натуральный | Творог 5% | Печенье овсяное | Детское пюре яблочное | Детская каша | Подгузники | Влажные салфетки
B257,weekly_stock,15,Молоко 2.5% | Хлеб пшеничный | Яйца C1 10 шт | Куриное филе | Картофель | Огурцы | Салат айсберг | Укроп | Петрушка | Яблоки | Бананы | Лимоны | Гречка | Подсолнечное масло | Вода минеральная
B258,weekly_stock,11,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Куриное филе | Картофель | Лук репчатый | Яблоки | Рис длиннозерный | Гречка | Подсолнечное масло | Вода минеральная
B259,veggie_stew,9,Помидоры | Перец болгарский | Салат айсберг | Шампиньоны | Кабачки | Баклажаны | Булгур | Оливковое масло | Итальянские травы
B260,lasagna_pasta,9,Сливки 10% | Моцарелла | Пармезан | Фарш говяжий | Шампиньоны | Редис | Клубника | Макароны пенне | Итальянские травы
B261,borsch_soup,8,Сметана 20% | Хлеб ржаной | Говядина стейк | Картофель | Лук репчатый | Чеснок | Свекла | Укроп
B262,big_family_stock,15,Молоко 2.5% | Батон нарезной | Яйца C1 10 шт | Куриные бедра | Фарш говяжий | Перец болгарский | Бананы | Гречка | Макароны пенне | Сахар | Томатная паста | Чай черный | Вода минеральная | Бумажные полотенца | Туалетная бумага
B263,fitness_protein,7,Куриное филе | Шпинат | Брокколи | Авокадо | Киноа | Вода минеральная | Миндаль
B264,big_family_stock,13,Молоко 2.5% | Батон нарезной | Яйца C1 10 шт | Куриные бедра | Фарш говяжий | Картофель | Гречка | Макароны пенне | Сахар | Чай черный | Мороженое ванильное | Бумажные полотенца | Туалетная бумага
B265,veggie_stew,7,Яйца C1 10 шт | Чеснок | Перец болгарский | Кабачки | Баклажаны | Итальянские травы | Газированная вода
B266,borsch_soup,10,Сметана 20% | Хлеб ржаной | Яйца перепелиные | Говядина стейк | Картофель | Морковь | Лук репчатый | Чеснок | Свекла | Печенье овсяное
B267,fish_dinner,6,Лосось филе | Картофель | Огурцы | Лимоны | Оливковое масло | Черный перец
B268,breakfast_basic,6,Сыр гауда | Сливочное масло | Хлеб пшеничный | Бананы | Овсяные хлопья | Кофе молотый
B269,fish_dinner,10,Хлеб пшеничный | Лосось филе | Огурцы | Шпинат | Лимоны | Рис длиннозерный | Оливковое масло | Панировочные сухари | Кофе молотый | Средство для посуды
B270,tea_sweets,10,Молоко 2.5% | Круассаны | Лимоны | Овсяные хлопья | Чай черный | Кофе молотый | Шоколад молочный | Печенье овсяное | Вафли | Джем клубничный
B271,big_family_stock,18,Молоко 2.5% | Батон нарезной | Яйца C1 10 шт | Куриные бедра | Фарш говяжий | Картофель | Морковь | Лук репчатый | Зеленый лук | Петрушка | Гречка | Макароны пенне | Сахар | Фасоль консервированная | Чай черный | Кофе молотый | Бумажные полотенца | Туалетная бумага
B272,baking_sweet,9,Молоко 2.5% | Сливочное масло | Яйца C1 10 шт | Сахар | Разрыхлитель теста | Ванильный сахар | Какао порошок | Газированная вода | Шоколад темный
B273,baking_sweet,7,Яйца C1 10 шт | Мука пшеничная | Сахар | Разрыхлитель теста | Ванильный сахар | Какао порошок | Шоколад темный
B274,baking_sweet,11,Молоко 2.5% | Яйца C1 10 шт | Зеленый лук | Макароны спагетти | Мука пшеничная | Сахар | Разрыхлитель теста | Ванильный сахар | Какао порошок | Сок яблочный | Шоколад темный
B275,baking_sweet,6,Яйца C1 10 шт | Сахар | Разрыхлитель теста | Ванильный сахар | Какао порошок | Шоколад темный
B276,sushi_home,10,Лосось филе | Крабовые палочки | Огурцы | Авокадо | Зеленый лук | Имбирь | Рис для суши | Нори | Соевый соус | Шоколад молочный
B277,healthy_breakfast,7,Йогурт греческий | Молоко безлактозное | Голубика | Овсяные хлопья | Мед | Орехи грецкие | Гранола
B278,veggie_stew,9,Помидоры | Перец болгарский | Шампиньоны | Кабачки | Баклажаны | Булгур | Оливковое масло | Итальянские травы | Туалетная бумага
B279,baby_care,7,Йогурт натуральный | Бананы | Вода минеральная | Печенье овсяное | Детское пюре яблочное | Детская каша | Подгузники
B280,weekly_stock,14,Молоко 2.5% | Сыр гауда | Хлеб пшеничный | Куриное филе | Картофель | Лук репчатый | Авокадо | Яблоки | Лимоны | Подсолнечное масло | Чай черный | Сок яблочный | Вода минеральная | Печенье овсяное
B281,curry_dinner,11,Куриное филе | Салат айсберг | Брокколи | Укроп | Имбирь | Лимоны | Рис длиннозерный | Кокосовое молоко | Карри паста | Вода минеральная | Квас
B282,tea_sweets,6,Молоко 2.5% | Морковь | Оливки | Чай черный | Печенье овсяное | Джем клубничный
B283,frozen_quick,9,Петрушка | Лимоны | Фасоль консервированная | Горошек консервированный | Кетчуп | Газированная вода | Мороженое ванильное | Пельмени | Вареники с картофелем
B284,kids_breakfast,10,Молоко 2.5% | Йогурт натуральный | Яблоки | Бананы | Сок яблочный | Вода минеральная | Хлопья кукурузные | Детское пюре яблочное | Детская каша | Пакеты для мусора
B285,fruit_snack,12,Йогурт натуральный | Яблоки | Бананы | Апельсины | Лимоны | Груши | Виноград | Горчица | Вода минеральная | Печенье овсяное | Орехи грецкие | Средство для посуды
B286,breakfast_basic,6,Сыр гауда | Сливочное масло | Хлеб пшеничный | Треска филе | Бананы | Овсяные хлопья
B287,baby_care,8,Молоко 2.5% | Йогурт натуральный | Бананы | Вода минеральная | Детское пюре яблочное | Детская каша | Подгузники | Влажные салфетки
B288,healthy_breakfast,6,Молоко безлактозное | Бананы | Голубика | Мед | Орехи грецкие | Детское пюре яблочное
B289,baby_care,7,Молоко 2.5% | Йогурт натуральный | Бананы | Детское пюре яблочное | Детская каша | Подгузники | Влажные салфетки
B290,bbq_picnic,13,Лаваш | Яйца C1 10 шт | Куриные бедра | Свинина для жарки | Сельдь слабосоленая | Картофель | Морковь | Помидоры | Огурцы | Перец болгарский | Соевый соус | Газированная вода | Бумажные полотенца
B291,household_cleaning,6,Влажные салфетки | Средство для посуды | Порошок стиральный | Бумажные полотенца | Туалетная бумага | Пакеты для мусора
B292,big_family_stock,17,Яйца C1 10 шт | Куриные бедра | Фарш говяжий | Картофель | Шпинат | Зеленый лук | Петрушка | Яблоки | Лимоны | Гречка | Овсяные хлопья | Сахар | Фасоль консервированная | Чай черный | Сок яблочный | Порошок стиральный | Бумажные полотенца
B293,russian_salads,9,Яйца C1 10 шт | Колбаса докторская | Картофель | Огурцы | Укроп | Виноград | Горошек консервированный | Майонез | Средство для посуды
B294,fish_dinner,12,Молоко 2.5% | Яйца C1 10 шт | Лосось филе | Огурцы | Шпинат | Бананы | Лимоны | Оливковое масло | Черный перец | Вода минеральная | Мороженое ванильное | Бумажные полотенца
B295,pets_home,9,Сметана 20% | Помидоры | Кофе молотый | Вода минеральная | Корм для собак | Наполнитель для кошачьего туалета | Средство для посуды | Бумажные полотенца | Пакеты для мусора
B296,sushi_home,8,Моцарелла | Хлебцы ржаные | Лосось филе | Крабовые палочки | Огурцы | Авокадо | Соевый соус | Газированная вода
B297,curry_dinner,11,Сыр гауда | Куриное филе | Чеснок | Шампиньоны | Брокколи | Авокадо | Имбирь | Лимоны | Рис длиннозерный | Кокосовое молоко | Карри паста
B298,bbq_picnic,8,Лаваш | Куриные бедра | Свинина для жарки | Помидоры | Огурцы | Кетчуп | Чипсы картофельные | Бумажные полотенца
B299,salad_light,12,Молоко 2.5% | Хлеб пшеничный | Тунец консервированный | Огурцы | Перец болгарский | Салат айсберг | Шампиньоны | Авокадо | Клубника | Подсолнечное масло | Шоколад молочный | Туалетная бумага
B300,burger_night,7,Сыр гауда | Булочки для бургеров | Фарш говяжий | Кетчуп | Горчица | Карри паста | Картофель фри замороженный
